lastmonth,ip,hostname,email_score,email_score_name,dnsmatch,blacklists,ip_int,lastday,blacklists_count,blacklists_snources,second_level_domain,third_level_domain,category
2.893510914033206,81.208.60.180,host180-60.81208.static.axxam.com,,Neutral,0,[object Object],1372601524,0,0,,axxam.com,static.axxam.com,enterprise
3.1472007437277534,81.208.66.74,e-mail2.ricca-it.com,,Good,1,[object Object],1372602954,3.084755127551316,0,,ricca-it.com,e-mail2.ricca-it.com,enterprise
3.0616857242986506,81.208.86.44,mx.tamoil.com,,Good,1,[object Object],1372608044,3.3851881547612983,0,,tamoil.com,mx.tamoil.com,enterprise
3.2280102410484113,81.208.89.61,mail.gruppobim.it,,Good,1,[object Object],1372608829,3.3851881547612983,0,,gruppobim.it,mail.gruppobim.it,enterprise
3.752610581955969,81.208.97.78,smtp2.zurich-connect.it,,Good,1,[object Object],1372610894,4.038599749210265,0,,zurich-connect.it,smtp2.zurich-connect.it,enterprise
3.7955699298796044,81.208.106.249,mail.conadcentronord.it,,Good,1,[object Object],1372613369,4.038599749210265,0,,conadcentronord.it,mail.conadcentronord.it,enterprise
3.8425787780936806,81.208.112.114,81-208-112-114.ip.fastwebnet.it,,Good,1,[object Object],1372614770,4.125713735230223,0,,fastwebnet.it,ip.fastwebnet.it,consumer
4.548547093242603,81.208.112.117,mail.msccrociere.it,,Good,1,[object Object],1372614773,4.561438685655898,0,,msccrociere.it,mail.msccrociere.it,enterprise
4.452830287532571,81.208.118.80,relay.popso.it,,Good,1,[object Object],1372616272,4.8972277252098895,0,,popso.it,relay.popso.it,enterprise
3.3209037012398994,81.208.123.189,server.blumarinesrl.com,,Neutral,1,[object Object],1372617661,3.862508490154583,0,,blumarinesrl.com,server.blumarinesrl.com,enterprise
3.7509530104555457,83.103.19.134,mail2.cmbcarpi.it,,Good,1,[object Object],1399264134,4.260448498826621,0,,cmbcarpi.it,mail2.cmbcarpi.it,enterprise
3.549523658699261,83.103.23.221,mx1.italcom.biz,,Good,1,[object Object],1399265245,4.125713735230223,0,,italcom.biz,mx1.italcom.biz,enterprise
3.315140728306806,83.103.29.246,itf-mgw02.italfarmaco.it,,Good,1,[object Object],1399266806,4.163538485818565,0,,italfarmaco.it,itf-mgw02.italfarmaco.it,enterprise
3.29919634293565,83.103.48.41,83-103-48-41.ip.fastwebnet.it,,Good,1,[object Object],1399271465,0,0,,fastwebnet.it,ip.fastwebnet.it,consumer
2.9018713183228013,83.103.59.30,mail3.virtualsolution.net,,Neutral,1,[object Object],1399274270,3.6865167372241863,0,,virtualsolution.net,mail3.virtualsolution.net,enterprise
3.781884482837311,83.103.59.35,joomla.linkhost.it,,Good,1,[object Object],1399274275,4.038599749210265,0,,linkhost.it,joomla.linkhost.it,enterprise
3.7734682824840817,83.103.59.75,linkmail.linkhost.it,,Good,1,[object Object],1399274315,4.515676771666111,0,,linkhost.it,linkmail.linkhost.it,enterprise
3.0186479272877262,83.103.59.211,mail2.ufficiodiscount.it,,Neutral,1,[object Object],1399274451,3.5614784944906024,0,,ufficiodiscount.it,mail2.ufficiodiscount.it,enterprise
3.134647307794449,83.103.75.100,antispam.makita.it,,Good,1,[object Object],1399278436,3.3851881547612983,0,,makita.it,antispam.makita.it,enterprise
3.9608463278607275,83.103.96.246,mailhost.minihotel.it,,Good,1,[object Object],1399283958,4.08427761845219,0,,minihotel.it,mailhost.minihotel.it,enterprise
2.928999983044652,83.103.98.84,83-103-98-84.ip.fastwebnet.it,,Good,1,[object Object],1399284308,0,0,,fastwebnet.it,ip.fastwebnet.it,consumer
4.084405881262723,83.103.115.70,webmail.ima.it,,Good,1,[object Object],1399288646,4.446067768047895,0,,ima.it,webmail.ima.it,enterprise
3.297578856962031,83.103.115.226,mail.viabizzuno.com,,Good,1,[object Object],1399288802,4.08427761845219,0,,viabizzuno.com,mail.viabizzuno.com,enterprise
3.8338484011647176,85.18.12.244,mailserver.sestosg.net,,Good,1,[object Object],1427246324,4.260448498826621,0,,sestosg.net,mailserver.sestosg.net,enterprise
3.5088319184020573,85.18.22.50,relay01.bancaifis.it,,Good,1,[object Object],1427248690,4.198239346205174,0,,bancaifis.it,relay01.bancaifis.it,enterprise
4.020763840358744,85.18.29.249,85-18-29-249.ip.fastwebnet.it,,Good,1,[object Object],1427250681,4.125713735230223,0,,fastwebnet.it,ip.fastwebnet.it,consumer
3.985387239872297,85.18.34.67,mx2.sviluppochimica.it,,Good,1,[object Object],1427251779,4.363068936586154,0,,sviluppochimica.it,mx2.sviluppochimica.it,enterprise
3.0463515441151445,85.18.34.95,mail.federchimica.it,,Good,1,[object Object],1427251807,3.5614784944906024,0,,federchimica.it,mail.federchimica.it,enterprise
3.4222447501535935,85.18.54.176,remote.paroleedintorni.it,,Neutral,1,[object Object],1427257008,4.230456840939598,0,,paroleedintorni.it,remote.paroleedintorni.it,enterprise
3.1496323784506406,85.18.84.61,85-18-84-61.ip.fastwebnet.it,,Neutral,1,[object Object],1427264573,3.084755127551316,0,,fastwebnet.it,ip.fastwebnet.it,consumer
3.4074563010032795,85.18.84.68,htmail.hugotrumpy.it,,Good,1,[object Object],1427264580,3.3851881547612983,0,,hugotrumpy.it,htmail.hugotrumpy.it,enterprise
4.4412076493075245,85.18.95.20,mx014msr.fastwebnet.it,,Good,1,[object Object],1427267348,4.446067768047895,0,,fastwebnet.it,mx014msr.fastwebnet.it,consumer
4.422121914670453,85.18.95.21,mx011msr.fastwebnet.it,,Good,1,[object Object],1427267349,4.339563394789035,0,,fastwebnet.it,mx011msr.fastwebnet.it,consumer
4.437492356444646,85.18.95.22,mx012msr.fastwebnet.it,,Good,1,[object Object],1427267350,4.339563394789035,0,,fastwebnet.it,mx012msr.fastwebnet.it,consumer
2.9586319248588224,85.18.95.24,mx011msb.fastweb.it,,Good,1,[object Object],1427267352,3.084755127551316,0,,fastweb.it,mx011msb.fastweb.it,corporate
3.0129535390940587,85.18.95.31,mx012msb.fastweb.it,,Good,1,[object Object],1427267359,3.6865167372241863,0,,fastweb.it,mx012msb.fastweb.it,corporate
3.1653811271490198,85.18.95.35,mx013msb.fastweb.it,,Good,1,[object Object],1427267363,0,0,,fastweb.it,mx013msb.fastweb.it,corporate
3.05472528167218,85.18.95.41,mx014msb.fastweb.it,,Good,1,[object Object],1427267369,3.5614784944906024,0,,fastweb.it,mx014msb.fastweb.it,corporate
4.437009044748089,85.18.95.57,mx013msr.fastwebnet.it,,Good,1,[object Object],1427267385,4.384512051422598,0,,fastwebnet.it,mx013msr.fastwebnet.it,consumer
4.622043923447986,85.18.95.70,mr012msr.fastwebnet.it,,Neutral,1,[object Object],1427267398,4.888394722530353,0,,fastwebnet.it,mr012msr.fastwebnet.it,consumer
4.600353400180329,85.18.95.71,mr013msr.fastwebnet.it,,Neutral,1,[object Object],1427267399,4.8948175605378585,0,,fastwebnet.it,mr013msr.fastwebnet.it,consumer
3.810261242675314,85.18.95.90,mr021msb.fastweb.it,,Good,1,[object Object],1427267418,4.176231734003883,0,,fastweb.it,mr021msb.fastweb.it,corporate
3.7856764426356513,85.18.95.97,mr032msb.fastweb.it,,Good,1,[object Object],1427267425,4.341061324384862,0,,fastweb.it,mr032msb.fastweb.it,corporate
4.007304032043956,85.18.95.98,mr012msl.fastweb.it,,Neutral,1,[object Object],1427267426,4.341061324384862,0,,fastweb.it,mr012msl.fastweb.it,corporate
3.9927845826717263,85.18.95.99,mr011msl.fastweb.it,,Neutral,1,[object Object],1427267427,4.524692715776474,0,,fastweb.it,mr011msl.fastweb.it,corporate
3.820851317973133,85.18.95.100,mr024msb.fastweb.it,,Good,1,[object Object],1427267428,4.208449228738307,0,,fastweb.it,mr024msb.fastweb.it,corporate
4.012045686342394,85.18.95.102,mr014msl.fastweb.it,,Neutral,1,[object Object],1427267430,4.141530873617273,0,,fastweb.it,mr014msl.fastweb.it,corporate
4.457357200540042,85.18.95.103,mr014msb.fastweb.it,,Good,1,[object Object],1427267431,4.80267612736495,0,,fastweb.it,mr014msb.fastweb.it,corporate
4.468839606349734,85.18.95.104,mr013msb.fastweb.it,,Good,1,[object Object],1427267432,4.769872969365598,0,,fastweb.it,mr013msb.fastweb.it,corporate
3.8174016156191755,85.18.95.106,mr033msb.fastweb.it,,Good,1,[object Object],1427267434,4.3175557825877435,0,,fastweb.it,mr033msb.fastweb.it,corporate
4.011683252803173,85.18.95.107,mr013msl.fastweb.it,,Neutral,1,[object Object],1427267435,4.062270006250898,0,,fastweb.it,mr013msl.fastweb.it,corporate
4.468288180315652,85.18.95.108,mr011msb.fastweb.it,,Good,1,[object Object],1427267436,4.743565984851166,0,,fastweb.it,mr011msb.fastweb.it,corporate
4.459834488837467,85.18.95.109,mr012msb.fastweb.it,,Good,1,[object Object],1427267437,4.769872969365598,0,,fastweb.it,mr012msb.fastweb.it,corporate
4.6043171358752355,85.18.95.110,mr014msr.fastwebnet.it,,Neutral,1,[object Object],1427267438,4.954413608403469,0,,fastwebnet.it,mr014msr.fastwebnet.it,consumer
4.607906324541506,85.18.95.111,mr011msr.fastwebnet.it,,Neutral,1,[object Object],1427267439,4.881857373412575,0,,fastwebnet.it,mr011msr.fastwebnet.it,consumer
2.933957651342847,85.18.101.35,dexter.cesd.it,,Good,1,[object Object],1427268899,3.0627475153500248,0,,cesd.it,dexter.cesd.it,enterprise
4.784224326974766,85.18.101.248,smtp4.mmm.it,,Good,1,[object Object],1427269112,0,0,,mmm.it,smtp4.mmm.it,enterprise
4.711051917402414,85.18.101.250,smtp14.mmm.it,,Good,1,[object Object],1427269114,0,0,,mmm.it,smtp14.mmm.it,enterprise
4.774049552079873,85.18.101.254,smtp21.mmm.it,,Neutral,1,[object Object],1427269118,4.7155356025273045,0,,mmm.it,smtp21.mmm.it,enterprise
3.6647078911745328,85.18.103.25,mail.auchan.it,,Good,1,[object Object],1427269401,3.840500877953292,0,,auchan.it,mail.auchan.it,enterprise
3.387886331141373,85.18.106.173,serv-ftp.cna-to.it,,Neutral,0,[object Object],1427270317,3.3631805425600065,0,,cna-to.it,serv-ftp.cna-to.it,enterprise
3.1858607915902146,85.18.107.12,posta.gemmo.com,,Good,1,[object Object],1427270412,3.0627475153500248,0,,gemmo.com,posta.gemmo.com,enterprise
2.9127479667323826,85.18.120.214,mail.dmr.st,,Neutral,0,[object Object],1427273942,0,0,,dmr.st,mail.dmr.st,enterprise
4.178777981142576,85.18.123.226,mx1.altea.net,,Good,1,[object Object],1427274722,3.965389852948028,0,,altea.net,mx1.altea.net,enterprise
2.9667494908522816,85.18.140.132,mx.gruppomaiorana.it,,Good,1,[object Object],1427278980,3.664509125022895,0,,gruppomaiorana.it,mx.gruppomaiorana.it,enterprise
3.0112507248288374,85.18.156.242,85-18-156-242.ip.fastwebnet.it,,Neutral,1,[object Object],1427283186,0,0,,fastwebnet.it,ip.fastwebnet.it,consumer
3.0951626703085418,85.18.160.139,85-18-160-139.ip.fastwebnet.it,,Neutral,1,[object Object],1427284107,0,0,,fastwebnet.it,ip.fastwebnet.it,consumer
3.0254261149677144,85.18.162.172,85-18-162-172.ip.fastwebnet.it,,Neutral,1,[object Object],1427284652,3.0627475153500248,0,,fastwebnet.it,ip.fastwebnet.it,consumer
3.2945519535323866,85.18.190.21,mail.sogesa.net,,Neutral,1,[object Object],1427291669,4.292775132428255,0,,sogesa.net,mail.sogesa.net,enterprise
3.0910648556295217,85.18.201.81,prod.bestunion.it,,Neutral,0,[object Object],1427294545,0,0,,bestunion.it,prod.bestunion.it,enterprise
3.46690029728084,85.18.244.5,mail.nordfluid.it,,Neutral,1,[object Object],1427305477,3.0627475153500248,0,,nordfluid.it,mail.nordfluid.it,enterprise
3.776799542109888,85.18.244.73,85-18-244-73.ip.fastwebnet.it,,Good,1,[object Object],1427305545,4.3175557825877435,0,,fastwebnet.it,ip.fastwebnet.it,consumer
